"","b00dbd31a1deaac3a7effb65ba2a75b8","d58c7a4c645b97f66706a2132681d87b","adc573b8a97a30d9e6110740c24c4bec","46ad573404c508a657a958f14ac479d8","dff20f39b2eb3ee42bcdaa0782d3ca22","ce70e16e6d3c96628ca468715ae74442","124786fe35c30dd78e19aa4fdfa3fc74","50d4f4ae391c4758e774c225312bc79e","6b3d9fe036475e690fb9720c4fcd4fa0","b4129da495f25ff14d694a5fb3e850fc","8aaf6f00a45c3d49d9f2ff60d653cfce","5fc2fc0511ef331ade0d6fdc51d75b67","f830d3624691a51f38486cb062d4894f","6fc41326466462b13b8331d5de56163c","c1cae1e9c640d6b4939492bf022b9e97","fdae3ad647e3c4bce4f51b155b86f141","83319c98f0feb2a650db72f9d0debebd","f66f9eab4883ca7f6f92823de5139a8a","2953001423de58eb1d968b5f31f18d7e","ef885284dd31ab945fc6610b5a953698","e7c840ed9c4279e6c8fc6f5f719c39d7","4e73322f62eb17f4a481d7a6ee00f372","1fc86d69361ffb3693d1bd6994ef2db0","09d7d087ec8e5f2423b56fec3bb863ab","e66494191e234d7059557e7f645360cf","c0e3de2b20beb178c0d7e441ac21d8f7","897243cd88cdb6606fdf8b3736cdbe73","66ad54617c7d337a39a30166aa392b4d","cf8df4d117665ba169746ea90cd43209","8a9c4d24365a9dfae0ac39fd551a03fb","2c16c47cfbb985ef190738cae250c995","6cf753677bb0eca5d18fe06b8c5cc0a6","6ccbec517eaa441c1c44049c28c4d704","16d8d3d9f13eb038dccb0d8b2433f416","9a4d7d7e3b5de1fb04a8100662fcb541","edeb83b5e35ed4d48d0aad210386ab7c","1d0c625639dc71d31220634d322b67e5","a7b942faf62c925ed25423e210091c17","8ecccf76837f9e7eacd52f09c258fed8","4cf9c66e58652c153e2fe56288a15431","fc06ce256b93fb99c50fdb20ac02fb04","40a793ae0a529e3d5453851a6e3ee20a","9695677680adf5f0816fc6222ebdb594","a9828e535c07dbd2114170f5d8a605aa","f8f10ed03ba3611669442361f654577e","cc269300af031e50c03fb7681f266efb","f4b1855be9ebc26d8f87842f8e54f63c","6008985fb159ef8068df9cae8d5669b4","237d568c97a9b7943b1755737ccd58a5","7dc533ed8c4bd753b5f3e3e645ae5baa","daff5c38f8c7750f21682ac51d24eb0a","c7ff32269427fd2472731898c559db4d","64835811dc4f953ff083a9525cdce754","ebab84af79f23739d415811eca17dd02","6e82673aa178b2e8b90458c1e56b9fe9","3de8868e50350b2b5d1fe64f2b68f6c9","3359e1fbdef93a61cac47f4c035541a2","5f62c26fdfb2bc211d0c15d30e67bcda","b861d5d203151e799cb6ddfde60bb5f9","51e394cf1d6ddd0c245d33a0186745c4","832a5cc4abe2a2f48de28cb1f542837f","a08657609d8264c9efabd25f32475d19","43cb2642fbbddbeb41318f110e325adb","05fd99578c47b6adb5133cc4e63d27bc","e4f100974b9ab91eccdb003583798f27","dd6b29308bb7db32766571a5d436350d","b8f98b78080857fd92f43ef7402dcdae","7164aa77aeae72f50bcdc16de2895113","1b4bb4982b6e0438ab81cddd598067e9","5a84501429892df614e82dc5f5873db3","8f822867e78f5b658453449f629dab13","8fa6bba3814d920a6aeae6475c29322e","60ca04ff88a299badd62588fd5d46665","1ea5aac4338df430a110b053367dd124","bb87b227da6a17d28fbdfcdc83b2a711","2220a04673dd418d85f560cff6d16af3","5fb6a0f4c07844606599cbac5f67144b","d64c4cf891456dd977eb469556497354","e1483dace8ae53fa07f56ecf03f60f80","0aa7584edee3e9296ed2848a74c2ad98","7fd2c9a5cf4309d6fc7405ad387b9645","4ddafa77b0cce0f8174834ae556c319b","5c75c694b65f82d12605f6fc56640f5d","bfa816072591cba840c9132a77f8b2d4","03135f4aae975eb40222a444b39139b7","f83c1cb5dc164e8b9b17531df7b7d921","deeef6635f3e406077282d1ac99f654d","7d04277a2e93ea798966acde02d97d55"
"Sample35",37,59,5,3,15,4175,6,9,2,2,191,11,220,13,503,177,81,19,643,4379,58,35,55,13,3,45,13,40,1,27,38,3,26,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,142,14,7,6,11,3,1,120,2,2,1,66,1846,197,2,127,4,1,3,51,1,16,12,20,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample28",41,292,5,3,10,3115,6,9,2,2,910,1927,503,11,544,1433,565,19,2194,2686,107,160,191,612,3,5,14,165,1,345,66,3,216,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,16,7,2,6,512,2,390,2,2,1,66,1483,3975,2,1304,4,1,3,22,1,16,12,58,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample27",2284,64,5,3,10,184,6,9,2,2,30,947,42,11,52,1171,670,5541,293,470,60,443,18,43,3,9,32,19,1,30,20,3,57,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,28,13,1,174,3,1,1539,16,2,1,66,2982,140,2,57,4,1,7,22,1,16,12,10,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample24",53,269,11,3,13,1578,6,9,2,2,82,32,455,14,244,1888,249,144,640,1404,2369,36,88,13,3,7,21,27,1,66,785,3,30,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,24,14,11,1,7,3,1,65,2,67,12,97,1989,457,2,276,4,1,3,167,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample3",151,406,5,3,10,898,6,23,2,2,145,10,226,11,258,42,232,19,35,618,193,35,38,13,3,5,8,19,1,27,118,3,18,5,4,6,74,26,7,362,6,3,201,10,1,6,67,5,1,73,14,7,1,6,3,1,280,2,2,1,6365,7676,2531,1013,563,210,143,156,133,77,255,108,47,283,4,7,1,2,75,2,3,2,1,1,3,2,188,4
"Sample15",67,60,5,3,10,4185,6,9,2,2,498,11,102,41,173,45,68,21,49,4838,58,35,18,13,3,102,9,35,1,27,20,3,25,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,578,74,7,2,6,3,8,195,2,2,1,66,3552,301,2,307,4,1,4,132,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample18",31,59,5,3,10,213,6,9,2,2,25,10,42,11,52,334,36,19,35,213,58,35,18,13,3,5,8,19,1,27,20,3,18,5,4,6,619,82,186,1372,6,21,39,63,1,59,3,5,2,16,14,7,1,6,3,1,43,2,2,1,66,324,111,2,53,29,1,3,22,1,16,12,8,1652,493,380,94,122,215,51,29,31,15,11,3,2,25,4
"Sample25",31,59,5,3,10,180,6,9,2,2,25,10,42,11,52,303,36,19,35,203,58,35,18,13,3,5,8,19,1,27,20,3,18,114,234,535,602,274,50,547,127,3,11,734,1,17,3,881,1,16,14,7,1,6,3,1,43,2,2,1,66,300,111,2,53,107,1,3,22,1,16,12,8,551,4,353,1,2,14,2,3,2,1,1,244,180,150,4
"Sample21",2897,62,5,3,10,190,6,9,2,2,29,966,42,11,52,1049,728,6074,603,435,58,470,18,68,3,11,45,19,1,28,21,3,33,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,28,11,1,136,3,1,1127,5,2,1,66,3958,140,2,54,4,1,4,22,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample32",656,115,5,3,10,280,6,13,2,2,25,644,51,12,133,157,52,967,3852,4857,92,456,23,17,3,59,8,32,1,28,20,3,41,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,18,14,8,1,8,3,1,606,2,2,1,2149,1374,212,2,54,4,1,3,29,1,16,18,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample17",83,139,5,3,10,2985,6,9,2,2,25,291,95,11,61,8605,810,23,386,483,58,267,73,13,3,5,13,32,1,27,591,3,60,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,14,7,1,6,3,1,43,2,2,1,67,1370,287,2,549,4,1,18,45,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,64
"Sample29",113,559,5,3,10,1638,6,9,2,2,63,31,60,26,161,59,46,459,890,1583,117,37,31,13,3,20,10,38,1,33,124,3,28,5,4,6,36,6,7,5,6,3,10,10,1,6,3,5,1,16,17,7,1,6,3,1,115,2,2,1,83,1662,201,2,141,4,1,3,95,1,16,12,19,17,4,7,1,2,166,2,3,2,1,1,3,2,6,4
"Sample6",31,59,5,3,10,182,6,9,2,2,25,10,42,11,52,42,36,19,36,219,58,35,18,13,3,5,8,19,1,27,20,3,18,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,14,7,1,6,3,1,43,2,2,1,67,312,116,2,53,4,1,3,22,1,16,12,9,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
